태풍번호,태풍명,최저 기압(hpa),최대풍속(10분 평균 m/s)
200011,KAEMI,985,21
200010,BILIS,920,57
200009,EWINIAR,975,33
200008,JELAWAT,940,44
200007,CHANCHU,996,18
200006,BOLAVEN,980,26
200005,TEMBIN,992,21
200004,KAI-TAK,960,39
200003,KIROGI,940,44
200002,LONGWANG,990,23
200001,DAMREY,930,46
199922,GLORIA,980,26
199921,EVE,990,23
199920,DAN,955,41
199919,CAM,992,23
199918,BART,930,46
199917,ANN,985,26
199916,ZIA,985,23
199915,YORK,980,28
199914,WENDY,996,18
199913,VIRGIL,994,26
199912,TANYA,1000,26
199911,DORA,990,26
199910,SAM,980,28
199909,RACHEL,992,18
199908,PAUL,980,23
199907,OLGA,970,33
199906,Noname,985,21
199905,NEIL,980,26
199904,Noname,996,18
199903,MAGGIE,955,39
199902,LEO,970,33
199901,KATE,980,28
199816,GIL,992,21
199815,FAITH,970,33
199814,ELVIS,992,21
199813,DAWN,998,18
199812,CHIP,994,21
199811,BABS,940,44
199810,ZEB,900,57
199809,YANNI,965,33
199808,WALDO,994,23
199807,VICKI,960,39
199806,TODD,955,39
199805,STELLA,965,31
199804,REX,955,39
199803,PENNY,985,26
199802,OTTO,970,33
199801,NICHOLE,998,18
199728,PAKA,920,51
199727,MORT,992,23
199726,LINDA,985,26
199725,KEITH,910,57
199724,JOAN,905,54
199723,IVAN,905,54
199722,GINGER,925,49
199721,FRITZ,980,28
199720,DAVID,945,44
199719,OLIWA,915,51
199718,BING,940,44
199717,CASS,992,23
199716,AMBER,950,41
199715,ZITA,980,28
199714,YULE,980,28
199713,WINNIE,915,51
199712,VICTOR,980,31
199711,TINA,955,39
199710,SCOTT,988,21
199709,ROSIE,920,51
199708,PETER,968,33
199707,OPAL,960,39
199706,NESTOR,930,51
199705,MARIE,965,33
199704,LEVI,992,21
199703,KELLY,998,18
199702,JIMMY,994,18
199701,ISA,940,44
199626,FERN,975,31
199625,ERNIE,992,21
199624,DALE,930,46
199623,CARLO,965,36
199622,BETH,975,31
199621,ZANE,950,41
199620,YATES,935,46
199619,WILLIE,985,28
199618,TOM,965,36
199617,VIOLET,935,46
199616,SALLY,940,44
199615,PIPER,996,21
199614,ORSON,955,39
199613,NIKI,970,33
199612,KIRK,955,39
199611,LISA,996,21
199610,JOY,980,28
199609,HERB,925,49
199608,GLORIA,965,33
199607,FRANKIE,975,26
199606,EVE,940,44
199605,DAN,970,33
199604,CAM,994,21
199603,BART,930,49
199602,ANN,1000,18
199601,Noname,998,18
